name;artist;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;duration_ms;time_signature;id;html
Grace;Kelly Price;0.372;0.579;08;-5.928;0;0.047;0.469;0.0;0.0982;0.315;123.316;;0207707;03;4dKwDayzoCJMIO5RyF5FFf;https://open.spotify.com/track/4dKwDayzoCJMIO5RyF5FFf
When Sunday Comes;Daryl Coley;0.242;0.639;05;-9.326;0;0.0826;0.319;0.0;0.202;0.234;139.606;;0453933;03;1JIyzwxYKUktXe7tn4oqk9;https://open.spotify.com/track/1JIyzwxYKUktXe7tn4oqk9
Hope;Jonathan Traylor;0.868;0.761;05;-4.322;01;0.0628;0.0403;1.13e-05;0.115;0.669;118.962;;0209951;04;3GC7jZ05UuZVPNy2JMgPHf;https://open.spotify.com/track/3GC7jZ05UuZVPNy2JMgPHf
I Need You Now;Smokie Norful;0.339;0.273;05;-9.945;0;0.0309;0.729;0.0;0.152;0.304;96.804;;0251467;03;44q2DhInsQYJ8X1q2H1RNj;https://open.spotify.com/track/44q2DhInsQYJ8X1q2H1RNj
Still;Brian Courtney Wilson;0.331;0.531;01;-9.26;01;0.0743;0.514;0.0;0.0976;0.33;146.278;;0253721;04;5vh7Na52Ql4IhJIbrtbHoQ;https://open.spotify.com/track/5vh7Na52Ql4IhJIbrtbHoQ
Lift Every Voice And Sing;Tasha Cobbs Leonard;0.205;0.494;03;-6.52;01;0.0323;0.757;0.0;0.16;0.208;93.357;;022783;04;5xdVBOOlxEwXTkF0ukJKIJ;https://open.spotify.com/track/5xdVBOOlxEwXTkF0ukJKIJ
So Will I (100 Billion X) - Live;Cross Worship;0.302;0.647;01;-6.758;01;0.0441;0.0619;0.0;0.117;0.271;127.065;;0539;04;6r8Hyq73otGTA1QZltqJRH;https://open.spotify.com/track/6r8Hyq73otGTA1QZltqJRH
You Get The Glory;Jonathan Traylor;0.31;0.347;011;-11.715;01;0.0342;0.42;0.0;0.0894;0.157;171.511;;0232013;04;0i3Lk4RsNjmY1fQDc4w6Rt;https://open.spotify.com/track/0i3Lk4RsNjmY1fQDc4w6Rt
Center Of My Joy - Live;Richard Smallwood;0.288;0.65;03;-5.403;01;0.0385;0.485;0.0;0.632;0.33;86.644;;0445067;04;76Ypq8Tlt5jeHepzlrHJnI;https://open.spotify.com/track/76Ypq8Tlt5jeHepzlrHJnI
You Know My Name;Tasha Cobbs Leonard;0.293;0.46;07;-6.992;01;0.0335;0.14;0.0;0.0779;0.191;97.635;;0480547;03;0Dlm41iXvTsIVsEOce3yX6;https://open.spotify.com/track/0Dlm41iXvTsIVsEOce3yX6
Thank You Lord - Live / Edit;Joyous Celebration;0.665;0.616;02;-7.072;01;0.0371;0.00436;4.83e-06;0.139;0.439;117.85;;01992;03;6TXKTDRCZIUw1mUXxAKlG4;https://open.spotify.com/track/6TXKTDRCZIUw1mUXxAKlG4
Beautiful Scars;Merry Clayton;0.489;0.575;0;-6.869;0;0.0419;0.714;0.0;0.342;0.205;119.684;;0204708;04;7CfuPcDp1GOD0ese4iqgcc;https://open.spotify.com/track/7CfuPcDp1GOD0ese4iqgcc
Inhabit Our Praise;Cross Worship;0.471;0.751;011;-6.162;01;0.0418;0.213;0.0;0.105;0.441;75.02;;0427255;04;0tYN8YxEg3d5QivPEo3fGJ;https://open.spotify.com/track/0tYN8YxEg3d5QivPEo3fGJ
Look No Further - Radio Version;Evvie McKinney;0.404;0.697;07;-5.143;01;0.0597;0.189;0.0;0.11;0.168;72.381;;0244293;04;6FZVuZZrtXz4EGOayIEt0J;https://open.spotify.com/track/6FZVuZZrtXz4EGOayIEt0J
High Up;Jonathan Traylor;0.722;0.457;05;-6.737;0;0.069;0.379;0.0;0.096;0.551;141.933;;0180987;04;0drumuKkSeMz3CH5kGfOEl;https://open.spotify.com/track/0drumuKkSeMz3CH5kGfOEl
You Say;WorshipMob;0.416;0.626;06;-7.395;01;0.0368;0.0285;0.0;0.108;0.231;141.586;;0451349;04;45Vdhu0rs3nHLYeRv3c4Of;https://open.spotify.com/track/45Vdhu0rs3nHLYeRv3c4Of
Faith That Conquers;Kelly Price;0.332;0.404;08;-5.983;01;0.0309;0.926;0.0;0.214;0.308;132.042;;0272982;04;1bXijLYK9IMVFiegCRWDTr;https://open.spotify.com/track/1bXijLYK9IMVFiegCRWDTr
Gotta Believe;Tasha Cobbs Leonard;0.602;0.589;01;-5.778;01;0.0427;0.232;0.0;0.579;0.802;134.982;;0170844;04;6XQnntAqVSQkcaBQP7HIJO;https://open.spotify.com/track/6XQnntAqVSQkcaBQP7HIJO
Fear Is Not Welcome;Brian Courtney Wilson;0.519;0.462;01;-8.488;01;0.0387;0.113;0.0;0.164;0.27;129.909;;0256319;04;3LD14y8LXd3Wby9eRhExgC;https://open.spotify.com/track/3LD14y8LXd3Wby9eRhExgC
We Gon’ Be Alright;Tye Tribbett;0.826;0.524;08;-5.559;0;0.109;0.282;0.0;0.098;0.284;110.041;;0214973;04;0ErItBOhcHJahcQ8BGqk4V;https://open.spotify.com/track/0ErItBOhcHJahcQ8BGqk4V
Touch The Hem Of His Garment;Merry Clayton;0.484;0.562;0;-5.917;01;0.135;0.859;0.0;0.346;0.504;100.185;;0196253;04;5jKyh5GObPWr9g4iHO5fCm;https://open.spotify.com/track/5jKyh5GObPWr9g4iHO5fCm
I Trust You - Radio Edit;Jonathan Traylor;0.554;0.542;01;-8.722;0;0.0599;0.405;1.26e-05;0.109;0.291;114.782;;0217312;01;5qZREphIiL2VQ4IvuxgRnH;https://open.spotify.com/track/5qZREphIiL2VQ4IvuxgRnH
Dance Party;Kelly Price;0.684;0.867;05;-3.379;0;0.0724;0.0208;0.0;0.0768;0.735;128.018;;0236769;04;66IHTfRLQGiDuMXyCsLCJ3;https://open.spotify.com/track/66IHTfRLQGiDuMXyCsLCJ3
Do It Again;Evvie McKinney;0.422;0.48;04;-4.193;01;0.0329;0.401;0.000407;0.122;0.209;123.026;;0290035;03;3yHSoXS8cpzrIyNG4cirr3;https://open.spotify.com/track/3yHSoXS8cpzrIyNG4cirr3
Same God;Cross Worship;0.494;0.601;06;-6.545;01;0.0462;0.171;0.0;0.0926;0.166;146.997;;0246531;04;7pig2L86v64f68bEcYJxUE;https://open.spotify.com/track/7pig2L86v64f68bEcYJxUE
For Your Glory - 1 Mic 1 Take;Tasha Cobbs Leonard;0.42;0.381;08;-6.364;01;0.0431;0.871;0.0;0.119;0.39;124.855;;0258525;03;7BL7RMLN0YSUCjc6e2PxsC;https://open.spotify.com/track/7BL7RMLN0YSUCjc6e2PxsC
Man On Fire;Idahams;0.772;0.687;02;-7.398;0;0.164;0.0445;6.22e-06;0.048;0.794;96.034;;02025;04;5iOKGigwmEPBSPSkM8v5lx;https://open.spotify.com/track/5iOKGigwmEPBSPSkM8v5lx
